icd103,chapter,l1,l2
Z22,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to communicable diseases,Carrier of infectious disease
Z23,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to communicable diseases,Need for immunization against single bacterial diseases
Z24,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to communicable diseases,Need for immunization against certain single viral diseases
Z25,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to communicable diseases,Need for immunization against other single viral diseases
Z26,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to communicable diseases,Need for immunization against other single infectious diseases
Z27,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to communicable diseases,Need for immunization against combinations of infectious diseases
Z28,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to communicable diseases,Immunization not carried out
Z29,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to communicable diseases,Need for other prophylactic measures
Z30,XXI Factors influencing health status and contact with health services,Persons encountering health services in circumstances related to reproduction,Contraceptive management
Z31,XXI Factors influencing health status and contact with health services,Persons encountering health services in circumstances related to reproduction,Procreative management
Z32,XXI Factors influencing health status and contact with health services,Persons encountering health services in circumstances related to reproduction,Pregnancy examination and test
Z33,XXI Factors influencing health status and contact with health services,Persons encountering health services in circumstances related to reproduction,TBC
Z34,XXI Factors influencing health status and contact with health services,Persons encountering health services in circumstances related to reproduction,Supervision of normal pregnancy
Z35,XXI Factors influencing health status and contact with health services,Persons encountering health services in circumstances related to reproduction,Supervision of high-risk pregnancy
Z36,XXI Factors influencing health status and contact with health services,Persons encountering health services in circumstances related to reproduction,Antenatal screening
Z37,XXI Factors influencing health status and contact with health services,Persons encountering health services in circumstances related to reproduction,Outcome of delivery
Z38,XXI Factors influencing health status and contact with health services,Persons encountering health services in circumstances related to reproduction,Liveborn infants according to place of birth
Z39,XXI Factors influencing health status and contact with health services,Persons encountering health services in circumstances related to reproduction,Postpartum care and examination
Z40,XXI Factors influencing health status and contact with health services,Persons encountering health services for specific procedures and health care,Prophylactic surgery
Z41,XXI Factors influencing health status and contact with health services,Persons encountering health services for specific procedures and health care,Procedures for purposes other than remedying health state
Z42,XXI Factors influencing health status and contact with health services,Persons encountering health services for specific procedures and health care,Follow-up care involving plastic surgery
Z43,XXI Factors influencing health status and contact with health services,Persons encountering health services for specific procedures and health care,Attention to artificial openings
Z44,XXI Factors influencing health status and contact with health services,Persons encountering health services for specific procedures and health care,Fitting and adjustment of external prosthetic device
Z45,XXI Factors influencing health status and contact with health services,Persons encountering health services for specific procedures and health care,Adjustment and management of implanted device
Z46,XXI Factors influencing health status and contact with health services,Persons encountering health services for specific procedures and health care,Fitting and adjustment of other devices
Z47,XXI Factors influencing health status and contact with health services,Persons encountering health services for specific procedures and health care,Other orthopaedic follow-up care
Z48,XXI Factors influencing health status and contact with health services,Persons encountering health services for specific procedures and health care,Other surgical follow-up care
Z49,XXI Factors influencing health status and contact with health services,Persons encountering health services for specific procedures and health care,Care involving dialysis
Z50,XXI Factors influencing health status and contact with health services,Persons encountering health services for specific procedures and health care,Care involving use of rehabilitation procedures
Z51,XXI Factors influencing health status and contact with health services,Persons encountering health services for specific procedures and health care,Other medical care
Z52,XXI Factors influencing health status and contact with health services,Persons encountering health services for specific procedures and health care,Donors of organs and tissues
Z53,XXI Factors influencing health status and contact with health services,Persons encountering health services for specific procedures and health care,Persons encountering health services for specific procedures; not carried out
Z54,XXI Factors influencing health status and contact with health services,Persons encountering health services for specific procedures and health care,Convalescence
Z55,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,TBC
Z56,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,TBC
Z57,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,TBC
Z58,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Problems related to physical environment
Z59,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Problems related to housing and economic circumstances
Z60,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Problems related to social environment
Z61,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Problems related to negative life events in childhood
Z62,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,TBC
Z63,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Other problems related to primary support group; including family circumstances
Z64,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,TBC
Z65,XXI Factors influencing health status and contact with health services,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Problems related to other psychosocial circumstances
